Subject	PD_whole_tree	chao1	observed_otus	Time	Treat	individual
570.T0	113.83853	1670.96858638743	1059	0	Placebo	1
570.T1	145.22928	2131.11743772242	1498	1	Placebo	1
570.T2	129.30148	1908.41304347826	1240	2	Placebo	1
570.T3	160.42168	2217.72891566265	1753	3	Placebo	1
570.T4	27.04752	376.588235294118	141	4	Placebo	1
570.T5	153.84763	2168.06148867314	1634	5	Placebo	1
571.T0	115.18985	1523.84076433121	995	0	Placebo	2
571.T1	138.95754	2042.5	1388	1	Placebo	2
571.T2	97.2664700000001	1461.78787878788	761	2	Placebo	2
571.T3	138.70089	2016.7786259542	1400	3	Placebo	2
571.T4	153.06657	2217.26258992806	1607	4	Placebo	2
571.T5	150.12601	2250.46840148699	1569	5	Placebo	2
572.T0	143.6573	1999.5250965251	1448	0	Placebo	3
572.T1	133.38975	2056.93700787402	1414	1	Placebo	3
572.T2	114.20387	1732.6976744186	1039	2	Placebo	3
572.T3	113.86249	1734.73376623377	982	3	Placebo	3
572.T4	132.51986	2045.85074626866	1281	4	Placebo	3
572.T5	140.47857	1993	1458	5	Placebo	3
573.T0	138.56284	2033.07058823529	1456	0	Placebo	4
573.T1	143.26119	2078.34600760456	1525	1	Placebo	4
573.T2	113.72463	1697.56329113924	1000	2	Placebo	4
573.T3	138.31405	2028.68965517241	1392	3	Placebo	4
573.T4	128.54553	1917.38356164384	1238	4	Placebo	4
573.T5	147.99552	2143.25320512821	1592	5	Placebo	4
574.T0	137.52338	2102.76771653543	1400	0	Placebo	5
574.T1	134.61358	1859.104	1311	1	Placebo	5
574.T2	145.24497	2034.8284789644	1576	2	Placebo	5
574.T3	150.11728	2129.56040268456	1593	3	Placebo	5
574.T4	128.06972	1749.62433862434	1159	4	Placebo	5
574.T5	160.22163	2221.91642651297	1766	5	Placebo	5
575.T0	140.68425	2093.52734375	1493	0	Placebo	6
575.T1	136.49259	1975.33766233766	1343	1	Placebo	6
575.T2	121.1658	1923.6978021978	1130	2	Placebo	6
575.T3	114.85286	1483.74657534247	1006	3	Placebo	6
575.T4	123.6988	1950.67741935484	1110	4	Placebo	6
575.T5	158.27926	2239.35843373494	1716	5	Placebo	6
576.T0	120.16547	1754	1159	0	Placebo	7
576.T1	130.00332	1941.704	1340	1	Placebo	7
576.T2	116.75329	1749.525	1098	2	Placebo	7
576.T3	128.17215	1871.22619047619	1298	3	Placebo	7
576.T4	131.9862	1964.7480620155	1345	4	Placebo	7
576.T5	132.68499	1886	1369	5	Placebo	7
577.T0	133.41217	1839.62962962963	1318	0	Placebo	8
577.T1	132.92979	1931.12552301255	1349	1	Placebo	8
577.T2	93.5106100000001	1334.625	778	2	Placebo	8
577.T3	108.35111	1730.81005586592	1045	3	Placebo	8
577.T4	116.10223	1567.72588832487	1073	4	Placebo	8
577.T5	132.98105	1993.02242152466	1338	5	Placebo	8
578.T0	141.0441	2070.7196969697	1503	0	Letrozole	9
578.T1	137.73229	2067.90681003584	1464	1	Letrozole	9
578.T2	136.44112	2079.48051948052	1340	2	Letrozole	9
578.T3	143.19817	2006.35	1432	3	Letrozole	9
578.T4	146.56733	2146.53790613718	1515	4	Letrozole	9
578.T5	135.114050000001	2145.4314516129	1394	5	Letrozole	9
580.T0	113.20713	1514.88165680473	1026	0	Letrozole	10
580.T1	141.20463	2120.35234899329	1553	1	Letrozole	10
580.T2	138.53227	2051.63533834586	1459	2	Letrozole	10
580.T3	131.01068	1883.00401606426	1388	3	Letrozole	10
580.T5	149.1216	2114.57643312102	1639	5	Letrozole	10
581.T0	123.20471	1797.275	1208	0	Letrozole	11
581.T1	107.0301	1752.76086956522	937	1	Letrozole	11
581.T2	99.6789800000001	1275.40909090909	818	2	Letrozole	11
581.T3	115.72066	1680.83606557377	1076	3	Letrozole	11
581.T4	138.167	2059.62637362637	1476	4	Letrozole	11
581.T5	148.76493	2104.20560747664	1639	5	Letrozole	11
582.T0	141.29118	2067.16014234875	1524	0	Letrozole	12
582.T1	146.22207	2061.86092715232	1571	1	Letrozole	12
582.T2	113.16342	1677.68421052632	1016	2	Letrozole	12
582.T3	143.40553	1978.10408921933	1455	3	Letrozole	12
582.T4	127.60185	1720.14761904762	1202	4	Letrozole	12
582.T5	141.11768	2013.51492537313	1419	5	Letrozole	12
583.T0	118.60892	1839.54761904762	1172	0	Letrozole	13
583.T1	145.87614	2164.00357142857	1535	1	Letrozole	13
583.T2	111.72862	1512.83333333333	989	2	Letrozole	13
583.T3	130.68323	1887.77272727273	1201	3	Letrozole	13
583.T4	154.73206	2132.65346534653	1647	4	Letrozole	13
583.T5	138.57835	2025.10218978102	1462	5	Letrozole	13
584.T0	124.12975	1820.68548387097	1249	0	Letrozole	14
584.T1	150.7267	2112.47315436242	1604	1	Letrozole	14
584.T2	105.74304	1767.08928571429	889	2	Letrozole	14
584.T3	129.53289	1922.35546875	1383	3	Letrozole	14
584.T4	106.29001	1597.96478873239	924	4	Letrozole	14
584.T5	138.48286	1959.34397163121	1490	5	Letrozole	14
585.T0	112.69447	1563.39622641509	986	0	Letrozole	15
585.T1	125.08145	1737.23529411765	1184	1	Letrozole	15
585.T2	99.35112	1356.03738317757	795	2	Letrozole	15
585.T3	127.30249	1876.03125	1184	3	Letrozole	15
585.T4	151.18377	2138.38321167883	1561	4	Letrozole	15
585.T5	120.85608	1836.63461538462	1115	5	Letrozole	15
586.T0	122.77158	1826.34905660377	1180	0	Letrozole	16
586.T1	113.58841	1543.37714285714	999	1	Letrozole	16
586.T2	92.98921	1325.54838709677	757	2	Letrozole	16
586.T3	104.60705	1426.60869565217	857	3	Letrozole	16
586.T4	146.10457	2148.69465648855	1481	4	Letrozole	16
586.T5	141.83709	2007.05357142857	1458	5	Letrozole	16
